PM1,Yes1,No1,PM2,Yes2,No2,PM3,Yes3,No3,PM4,Yes4,No4
0,6,2,0,0,8,0,114,2,0,3,113
4,4,0,7,0,1,0,115,1,0,2,114
7,1,0,8,0,0,2,114,0,1,0,115
5,2,1,5,0,3,0,108,8,0,1,115
6,2,0,8,0,0,2,114,0,0,1,115
6,2,0,8,0,0,0,82,34,1,6,109
6,2,0,5,1,2,2,114,0,1,2,113
0,8,0,3,1,4,1,110,5,6,10,100
6,2,0,8,0,0,0,116,0,0,0,116
8,0,0,7,0,1,1,115,0,2,0,114
7,0,1,7,0,1,0,107,9,0,1,115
3,5,0,3,0,5,1,111,4,0,1,115
3,5,0,6,0,2,1,108,7,0,1,115
4,2,2,4,0,4,1,114,1,2,2,112
0,8,0,0,1,7,1,113,2,2,4,110
6,2,0,7,0,1,0,112,4,0,1,115
7,1,0,8,0,0,0,115,1,0,0,116
7,1,0,8,0,0,0,116,0,0,11,105
0,8,0,0,2,6,0,109,7,1,4,111
2,6,0,4,0,4,2,110,4,3,0,113
6,2,0,5,1,2,0,114,2,0,4,112
7,1,0,7,0,1,0,111,5,0,2,114
4,4,0,4,0,4,0,111,5,5,1,110
8,0,0,8,0,0,1,114,1,1,2,113
0,8,0,1,1,6,0,111,5,0,4,112
5,3,0,2,0,6,1,113,2,1,0,115
5,3,0,8,0,0,0,110,6,0,1,115
5,3,0,8,0,0,0,114,2,0,4,112
0,7,1,0,0,8,0,116,0,0,6,110
2,6,0,2,1,5,3,112,1,4,11,101
6,2,0,8,0,0,0,111,5,1,0,115
4,4,0,3,1,4,1,112,3,1,17,98
3,5,0,5,1,2,1,110,5,3,7,106
6,2,0,4,0,4,2,108,6,1,1,114
6,2,0,6,1,1,0,113,3,2,2,112
4,4,0,8,0,0,0,114,2,0,3,113
4,4,0,7,0,1,2,113,1,2,2,112
6,2,0,7,0,1,1,114,1,1,0,115
4,4,0,4,0,4,3,111,2,6,0,110
7,1,0,0,0,8,3,112,1,0,0,116
0,8,0,1,0,7,0,114,2,2,12,102
0,8,0,0,0,8,0,115,1,0,3,113
6,2,0,7,0,1,0,114,2,0,1,115
7,1,0,8,0,0,2,110,4,2,9,105
0,8,0,0,0,8,1,110,5,1,14,101
7,1,0,7,0,1,0,114,2,0,7,109
0,8,0,0,0,8,0,116,0,1,2,113
5,3,0,6,2,0,1,111,4,2,5,109
0,8,0,0,2,6,0,115,1,0,2,114
4,4,0,4,0,4,0,114,2,2,2,112
8,0,0,8,0,0,1,114,1,0,2,114
0,6,2,0,0,8,1,103,12,7,2,107
0,8,0,0,0,8,0,114,2,0,2,114
5,3,0,5,0,3,2,113,1,2,0,114
8,0,0,8,0,0,0,116,0,0,0,116
3,5,0,7,0,1,0,114,2,0,2,114
2,6,0,3,0,5,0,114,2,1,10,105
0,8,0,0,0,8,0,116,0,0,17,99
5,3,0,5,0,3,2,112,2,2,0,114
